system,band_gap
Na2SmCuCl6,1.4634
Cs2NaTaBr6,0
Cs2CuBiF6,1.1623
K2NaTlBr6,1.0308
K2NaPrF6,5.9483
Na2GaHgBr6,0
K2TlRhF6,1.9609
Cs2NaGaBr6,1.6072
K2LiInF6,5.2984
Rb2ScHgI6,0
Cs2NdAgCl6,3.8207
Cs2NaTlBr6,1.0093
Rb2MnTlF6,0
K2LiSbI6,1.7108
K2SbAuF6,0.6938
K2HgPdF6,0
K2ScTlBr6,3.0604
Cs2KAlF6,6.6738
Rb2LiNdF6,6.6083
Cs2LiBiCl6,3.652
Na2CoHgF6,0
Cs2KGaI6,0.8284
Cs2RbBiBr6,3.4129
CsK2AsF6,3.5457
Cs2AlAuBr6,0
K2NaYBr6,4.0741
Rb2CoAuF6,0.9054
RbSrBr3,3.878
CsBaI3,3.511
K2AgSbBr6,1.1248
CsSrI0.75Br2.25,3.846
Rb2LiSbI6,1.7215
Cs2NaAuF6,0.6262
Rb2TlAgBr6,0
Cs2KTlCl6,2.327
Cs2NbAuF6,0.1377
RbHgF3,0.6454
Rb2AgBiBr6,1.582
Cs2RbBiI6,2.7905
Rb2NaHoF6,6.4819
Rb2TlAgCl6,0
Cs2AlAgF6,3.4974
K2TlPdF6,0
Na2TlNiF6,0.2339
K2NaNdCl6,4.8337
Cs2KTlF6,3.8205
Rb2GaCuF6,0.3578
Rb2AgAuCl6,0
Rb2TlSbI6,0.9303
Rb2NaLaCl6,4.6431
Cs2NaGaF6,5.8467
K2NaScBr6,3.0952
K2NaTmCl6,4.9718
Cs2NbKCl6,0
Cs2BiAuF6,1.2369
Rb2TlBiF6,3.3382
K2TlAuBr6,0
K2AgMoF6,2.5573
Cs2InAuF6,0.6895
Rb2NaYBr6,4.1918
Cs2KSmCl6,5.0573
Rb2TlCuBr6,0
Rb2GaAuF6,0.7904
K2RbScBr6,3.2468
RbCaBr0.375Cl2.625,4.646
Rb2NaMoBr6,1.4757
Cs2KBiBr6,3.4246
Cs2NdCuBr6,2.2431
Cs2ScTlBr6,3.1371
K2LiYI6,2.9702
K2ErAuCl6,2.1632
Cs2LiTlF6,3.4749
K2RbSbBr6,2.8383
Cs2RbErCl6,5.067
RbGeI3,0.58
K2AgMoBr6,0.6656
K2FeAuF6,1.0919
Cs2AgMoCl6,0.9531
Cs2LiInBr6,1.5789
K2NaInBr6,2.0195
K2GaAuF6,0.6779
KPbCl3,2.175
Cs2RbAlCl6,4.786
K2NaGaBr6,1.6303
CsRb2AlCl6,4.4662
Cs2RbPdF6,0
Cs2KPrBr6,4.2336
Cs2ScHgF6,0
